	Center	Punct\cont	X	VERB	N\P	S_O	Time	KNOW	Perso?	Act				Full context
main	уж		их	ощутить	P	O	past							Однако запахи живут и в темноте ― и ужих-тоя ощутил в полной мере. [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
main	уж		Глебов	знать	N	S	past	1	1					Лёвка вовсе не был таким уж принципиальным, и на судьбу Аструга ему было начхать ― ужГлебов-тознал Шулепу до донышка! ― но, видно, тот парень как-то его задел, то ли развязностью, то ли ещё чем-то. [Юрий Трифонов. Дом на набережной (1976)] [омонимия снята]
main	Уж		меня	всречать	P	O	future		1	1				Ужменятобудут встречать воплями и дрекольем. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	Уж		мне	вспало	P	O	past		1	1				― Ужмнетовспало на ум, не прочит ли за тебя он дочку. [П. И. Мельников-Печерский. В лесах. Книга вторая (1871-1874)] [омонимия не снята]
main	уж		нашу	отменить	P	O	future			1				Через какую-нибудь тысячу лет, Танечка, а может, через пятьсот, старый гинеколог вроде меня ― ужнашу-топрофессию никакой прогресс не отменит ― будет читать старинную русскую историю двадцатого века, и там будет две страницы про Сталина и два абзаца про Хрущева. [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
main	Уж	«	Дневники	знать	N	O	present	1						Но эта же мысль у него и в «Дневниках» есть. Уж«Дневники» -тознаете. У нас в роте тоже так: один одно читал, другой другое. [Михаил Кураев. Записки беглого кинематографиста // «Новый Мир», 2001] [омонимия не снята]
main	уж		он	-	P	S	present							На первый взгляд кажется, что ужон-то― самое социальное существо. [Кирилл Ефремов. Размышления у книжной полки: Бегство от одиночества // «Знание -- сила», 2003] [омонимия снята]
main	уж		он	-	P	S	present							Там донника белого видимо-невидимо. А ужон-тосладкий! .. Окончание в следующем номере. [Виктор Кологрив. Медовый луг // «Мурзилка», 2002] [омонимия снята]
main	Уж		он	вынужденный	P	S	inf		1					Ужон-то, вынужденный считать каждый шиллинг, чего ради он тратился, готовился, что ему были мы? [Д. А. Гранин. Месяц вверх ногами (1966)] [омонимия снята]
main	уж	,	он	придумает	P	S	future		1	1				Короче говоря, Миша был одним из тех людей, о которых говорят: "Ну уж,он-точто-нибудь придумает". [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
main	уж		он	развлекается	P	S	present		1					Тоски по Марвичу давно уже нет, убеждала она себя, всё это дело прошлое и ненужное, и она ему не нужна, ужон-тонебось развлекается, как хочет… [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
main	Уж		он	был	P	S	past		1					Твой Абарчук? Ужон-то, кажется, был двухсотпроцентный. Людмила Николаевна задумалась, сказала: [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
main	Уж		он	строить из себя	P	S	inf		1					Ужонтоне будет строить из себя героя молодогвардейца ― мигом всех продаст! [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	уж		она	уметь	P	S	past		1					Мать, наверное, что-то знала, но ужона-тоумела хранить тайны ― и свои, и чужие… [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
main	уж		она	навидаться	P	S	past		1					"Самый красивый мужчина, которого мне приходилось видеть", ― сказала про него одна знакомая (а ужона-томужчин навидалась!) [И. Грекова. Перелом (1987)] [омонимия снята]
main	уж		она	не пьет	P	S	inf		1	1				Был убежден, что ужонатовообще не пьет! [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	уж		она	-	P	S	present		1					Если бы уродина какая… с Лионой, правда, мы в друзьях, а ужонатоявно не Софи Лорен, даже отраженная в кривом зеркале. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]
main	Уж		они	оценить	P	S	future		1	1				[Чучундрик, nick] Ужонитооценят всю прелесть этих мультфильмов. [коллективный. Форум: Унесенные призраками, Spirited Away (2005-2010)] [омонимия не снята]
main	уж		отсюда	-	-	-	-							И не вставай зря… ― Да ужотсюда-то… как поди? ― Они с руки часы снимают, не то что… оттуда. [Василий Шукшин. Печки-лавочки (1970-1972)] [омонимия снята]
main	уж		так	быть благодарным	P	A	present							― А, матушка, как же я вам благодарна; сами знаете, мышьяк дорого стоит, да ещё и не скоро достанешь его… ужтак-тоя вам благодарна, так благодарна… [Д. В. Григорович. Бобыль (1847)] [омонимия снята]
main	Уж		тот	работать	P	S	present		1	1				[Сергей Викторович, nick] Ужтоттоперсонаж точно давненько там работает. [Новая тема, которую никто пока не трогает (форум) (2008)] [омонимия не снята]
main	уж		тут	вывозить	P	S	present			1				Побольше красот природы ― ужтуттоона, матушка, вывозит! [Т. В. Солоневич. Записки советской переводчицы (1937)] [омонимия не снята]
main	Уж		тут	-	P	O	-							― с торжеством орал он. ― Ужтут―то― правда! Это же здесь, в Казахстане! [Александр Чудаков. Ложится мгла на старые ступени (1987-2000) // «Знамя», 2000] [омонимия не снята]
main	уж		это	понимать	P	O	present		1	1				Ей любовь нужна, а любви шантажом не добьёшься ― ужэто-тоона наверняка понимает. [Вера Белоусова. Второй выстрел (2000)] [омонимия снята]
