	Center	Punct\cont	X	VERB	Time	N\P	S_O	KNOW	Perso?	Act				Full context
other	Уж	«	Аланию	знать	present	N	O	1						Уж«Аланию» -тоОсинов знает, как облупленную,―столько матчей провел за «желто-синих» против владикавказцев! [Максим КАДАЕВ. После первого тайма матча 'Ростов' - 'Алания' один из братьев Пономаренко хотел уйти со стадиона // Комсомольская правда, 2011.05.12] [омонимия не снята]
other	Уж		вы	понимать	present	P	S	1						СКОРПИОН Ужвытопонимаете и знаете, что настоящие чувства за деньги не купишь и что "насильно мил не будешь". [Бастрич Александра. ДЕРЖИТЕ СТРАСТИ В УЗДЕ // Труд-7, 2006.11.30] [омонимия не снята]
other	Уж		всё	иметь	past	P	O							Земля, над коей бег свой солнце обращает, И море, что вокруг всю землю обымает, Вселенныя всея пространство и предел, УжвсётоРим в своем владычии имел И не был насыщен: повсюда кораблями Покрылися моря, борющися с волнами, И если златом был какой народ богат, Не мог безбеден быть и был уж сопостат. [М. Н. Муравьев. Петрония Арбитра гражданская брань (1773)] [омонимия не снята]
other	уж		вы	-	-	P	S		1					Потом приходили всякие другие настойчивые, которые уже даже не стесняются говорить, что, мол, ну позарез ваша площадь нужна Russia Today, которая даже пресс-центр МИДа выжила из правого крыла здания, а ужвыто… [Люди Шойгу хотят разогнать Союз журналистов России // Новый регион 2, 2008.02.19] [омонимия не снята]
other	уж		её	терять	inf	P	O		1	1				Дак тожо, старуха пришла, тожо, ужеё-тотерять нечего, пришла, бегала вокруг омёта с иконой кругом бегала. [Календарь и праздники (Архангельская область, 1996)] [омонимия снята]
other	Уж		им	привыкать	inf	P	O		1					Ужимтоне привыкать разделываться с таким соперником как "Сибирь". [Екатерина ОЛЬХОВСКАЯ. Московский 'Спартак' оставил 'Сибирь' в подвешенном состоянии // Комсомольская правда, 2010.10.23] [омонимия не снята]
other	Уж		их	резделять	present	P	O			1				А иногда в бессоннице по строчке, Ужихтоне разделишь на двоих, И не в тетрадке,―просто на клочочке, - Слогалися родные и свои. [klubstihi. То строгие, то грустные, то нежные. http://stihi.ru/2006/12/11-601 (2006)] [омонимия не снята]
other	уж		мне	поверить	present	P	O		1					И счастлива птица! ужмнетоповерь! В темницу теперь не стремиться! [sadmoon. Свободная птица всё грустно глядела http://stihi.ru/2005/11/09-729 (2005)] [омонимия не снята]
other	Уж		мою бумажку	отдавать	present	P	O			1				[Воронов, Алексей Грибов, муж, 48, 1902] Ничего такого особенного. Ужмоюбумажку-тотдайте / пожалуйста. [Директор завода, С. Бобров, муж, 49, 1901] Какую бумажку? [Константин Юдин и др. Смелые люди, к/ф (1950)] [омонимия не снята]
other	уж		мы	становиться	past	P	S		1					и вот и ужмы-тостали вот и побольше и уже купаться действительно. [Летние праздники (село Кужное, Мордовский район, Тамбовская область, 2002)] [омонимия снята]
other	уж		мы	жить	present	P	S		1					А коровы у нас уж выгонены, тут вот Мошу, где ужмы-тоживём-то, туды уж выгонены коровы-те. [Случай из жизни (Архангельская область, 2001)] [омонимия снята]
other	уж		он	разбираться	present	P	S		1					А ужонтов финансах разбирается хорошо. [Викторов Виктор. ДВА СТАБФОНДА. ДВА ВЕСЕЛЫХ ДРУГА? // Труд-7, 2007.04.05] [омонимия не снята]
other	уж		она	мочь	past	P	S		1					Тем более, что у его матери-то никаких следов убийства не обнаружено, а ужонатовполне могла остановить сына. [У следователей по делу Южаковых закончились версии // Комсомольская правда, 2008.07.16] [омонимия не снята]
other	уж		потом	казнить	past	P	-			1				И вот они, видно, попутали, и она, видно, ушла, но потом всё равно её догнали, нигде найти не могут, дак догнали ужпотом-товсё равно, и казнил вот это тожо, отец и казнил. [Религия. Молитва (Архангельская область, 2007)] [омонимия снята]
other	уж		так	-	-	P	-							А ведь тогда так сомневался, и даже корил себя - мол, зачем ужтак―то. [dasha89. И в будущем все http://stihi.ru/2012/03/14/9262 (2012)] [омонимия не снята]
other	Уж		там	продать	future	P	-		1	1				Или как там… Простой и молодой невинный парень, Ужтамтоты продашь душу чертям. [yazicnik. Я часто думал: где осталось моё сердце? http://stihi.ru/2009/02/16/4992 (2009)] [омонимия не снята]
other	уж		этого	отступать	present	P	O			1				Мы с одной-то стороны мы ведь и неграмотные, ничё больше-то и не знаём, но ужэтого-тоначала я не отступаю, конечно. [Религия. Молитва (Архангельская область, 2007)] [омонимия снята]
other	Уж		я	скучать	past	P	S		1					- После битвы со шведами этот матч был немного скучноват… ―Ужятоточно не скучал. [Дмитрий Пономаренко. Константин Барулин: Давно мне так сыграть хотелось! // Советский спорт, 2012.05.13] [омонимия не снята]
